Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1474109040,604.57,604.57,604.57,604.57,0.02983289,18.036070307,604.57
1474112640,606.06,606.06,605.5,605.5,0.01831601,11.095001021,605.75425655
1474116240,605.6,606.57,605.6,605.6,0.358808,217.42084345,605.95316561
1474119840,606.05,606.05,606.05,606.05,0.39933,242.01394649999997,606.05
1474123440,603.01,603.64,603.01,603.64,0.40519,244.44409421,603.28264324
1474127040,602.03,603.57,602.03,603.57,0.05349539,32.267537442,603.18351622
1474130640,602.01,602.78,601.7,602.77,9.591881800000001,5773.0259705,601.86583727
1474134240,603.0,603.0,603.0,603.0,0.1314,79.2342,603.0
1474137840,603.0,603.0,602.23,602.23,0.01739006,10.479745834,602.62850351
1474141440,604.51,604.52,604.51,604.52,1.72434592,1042.3882956,604.51228693
1474145040,604.45,604.45,603.15,603.15,7.22062918,4357.137030100001,603.42899787
1474148640,603.11,603.11,603.11,603.11,0.46263760000000004,279.02136294,603.11
1474152240,604.04,604.09,602.82,602.82,0.69353186,418.82227161,603.89766608
1474155840,604.04,604.09,604.04,604.09,1.0,604.06660827,604.06660827
1474159440,604.09,604.09,604.09,604.09,0.07995437,48.299635373,604.09
1474163040,602.23,602.23,602.23,602.23,1.74050745,1048.1858016,602.23
1474166640,603.99,603.99,603.99,603.99,0.50048167,302.28592386,603.99
1474170240,604.12,604.12,604.12,604.12,0.0203541,12.296318892,604.12
1474173840,603.05,603.05,603.04,603.05,3.97552018,2397.4312578000004,603.04844378
1474177440,603.73,603.73,603.73,603.73,1.0,603.73,603.73
1474181040,604.22,604.23,603.4,604.23,5.30838867,3206.6225511,604.06702493
1474184640,603.02,603.02,603.02,603.02,0.48863385,294.65598423,603.02
1474188240,603.49,604.31,603.49,604.31,4.48298266,2707.8635082,604.03167123
1474191840,604.29,604.29,604.29,604.29,0.08181774,49.441642105,604.29
1474195440,606.24,606.24,606.22,606.22,12.91646234,7830.298183,606.22622332
1474199040,607.99,607.99,606.52,606.52,0.12136,73.670845,607.04387772
1474202640,606.62,606.62,606.62,606.62,0.03964211,24.047696768,606.62
1474206240,606.5,606.5,606.5,606.5,0.1084,65.7446,606.5
1474209840,607.82,607.82,607.8,607.8,1.5442,938.58614936,607.81385142
1474213440,607.94,607.97,607.94,607.97,4.11950607,2504.490663,607.95896896
1474217040,608.89,608.89,608.89,608.89,0.03973,24.1911997,608.89
1474220640,608.58,608.58,608.58,608.58,0.07376187,44.889998845,608.58
1474224240,608.04,608.04,608.04,608.04,0.44164152,268.53570982,608.04
1474227840,607.49,607.49,607.49,607.49,0.08062486,48.978796201,607.49
