Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1364043120,62.99,62.99,62.99,62.99,1.0,62.99,62.99
1364046720,65.1,65.1,65.1,65.1,9.30537635,605.78000038,65.1
1364050320,65.37,65.37,65.37,65.37,13.66236036,893.10849673,65.37
1364053920,65.39,65.64,65.39,65.64,1.14697417,75.118913096,65.493116637
1364057520,64.05,64.05,64.05,64.05,2.0,128.1,64.05
1364061120,63.1,63.1,63.1,63.1,6.81072,429.756432,63.1
1364064720,62.72,62.72,62.72,62.72,0.39295,24.645823999999998,62.72
1364068320,62.24,62.24,62.24,62.24,2.27040489,141.31000035,62.24
1364071920,61.5,61.5,61.5,61.5,15.0,922.5,61.5
1364075520,64.27,64.27,64.0,64.0,23.41605725,1499.5499995,64.039389016
1364079120,64.0,64.0,64.0,64.0,0.31156999999999996,19.940479999999997,64.0
1364082720,63.9,63.9,63.9,63.9,1.81783253,116.15949867,63.9
1364086320,63.95,63.95,63.95,63.95,2.89257232,184.97999986,63.95
1364089920,63.4,63.4,63.4,63.4,0.61,38.674,63.4
1364093520,63.36,63.36,63.36,63.36,3.51387063,222.63884312,63.36
1364097120,64.33,64.33,64.33,64.33,0.30949790000000005,19.909999907,64.33
1364100720,65.72,65.72,65.71,65.71,0.06838666,4.4940874286,65.71584909399999
1364104320,65.5,65.5,65.5,65.5,9.98373282,653.93449971,65.5
1364107920,65.43,65.43,65.43,65.43,0.04,2.6172,65.43
1364111520,66.3,66.3,66.25,66.25,35.0,2319.1990055,66.26282872899999
1364115120,67.0,67.0,67.0,67.0,2.17022163,145.40484921,67.0
1364118720,67.4,67.4,67.4,67.4,0.02,1.348,67.4
1364122320,68.59,68.59,68.59,68.59,0.13953353,9.5706048227,68.59
1364125920,68.15,68.15,68.15,68.15,2.60399,177.4619185,68.15
1364129520,68.17,68.17,68.17,68.17,0.56300426,38.380000404,68.17
1364133120,68.03,68.03,68.03,68.03,0.79,53.7437,68.03
1364136720,68.04,68.04,68.04,68.04,3.2618,221.93287200000003,68.04
1364140320,70.14,70.15,70.14,70.15,1.19816359,84.048175839,70.147496168
1364143920,69.77,69.77,69.77,69.77,0.09989967,6.9699999759,69.77
1364147520,70.14,70.14,70.14,70.14,20.88535577,1464.8988537,70.14
1364151120,70.5,70.56,70.5,70.56,1.69,119.15100000000001,70.503550296
1364154720,71.0,71.0,71.0,71.0,2.01816901,143.28999971,71.0
1364158320,70.6,70.6,70.6,70.6,1.13896562,80.410972772,70.6
1364161920,70.21,70.21,70.21,70.21,0.768,53.92128,70.21
1364165520,70.56,70.69,70.56,70.69,28.22,1994.8692,70.689907867
1364169120,70.55,70.55,70.55,70.55,2.5911299999999997,182.8042215,70.55
