timestamp,open,high,low,close,vwrap,volume,count
1524427200,8916.8,8940.0,8886.9,8920.0,8915.7,105.18378828,450
1524430800,8919.3,8933.0,8909.9,8932.2,8923.8,33.58859159,258
1524434400,8932.2,8932.4,8850.0,8865.2,8883.9,138.69183306,621
1524438000,8865.2,8865.8,8760.5,8811.8,8805.1,588.7639844,1432
1524441600,8811.8,8869.3,8784.9,8831.0,8831.4,173.97230411,426
1524445200,8831.0,8919.1,8818.6,8902.6,8857.0,143.4544336,351
1524448800,8895.9,8898.9,8851.4,8865.8,8873.5,61.22689902,270
1524452400,8862.7,8909.0,8862.1,8874.6,8884.6,74.91881978,370
1524456000,8874.6,8891.9,8844.7,8866.9,8862.4,60.04120534,281
1524459600,8866.9,8895.1,8843.8,8886.8,8870.1,113.99363165,234
1524463200,8886.8,8949.3,8864.2,8930.8,8905.7,172.14857412,487
1524466800,8916.5,8991.3,8916.5,8957.0,8963.3,214.81530368,805
1524470400,8957.0,8990.0,8919.9,8932.9,8945.7,214.16483055,468
1524474000,8926.5,8932.9,8849.8,8910.1,8882.3,228.6883534,568
1524477600,8910.2,8934.4,8887.6,8900.1,8909.2,116.55168642,303
1524481200,8900.1,8951.0,8883.1,8929.0,8936.1,268.30068074,411
1524484800,8929.0,9032.1,8920.0,8969.8,8965.5,392.81314179,763
1524488400,8969.8,8974.7,8927.1,8930.0,8951.1,176.39710823,433
1524492000,8930.0,8939.1,8861.0,8929.8,8907.3,681.66232681,1131
1524495600,8928.7,8945.0,8895.0,8906.2,8913.7,74.64001705,342
1524499200,8907.7,8943.9,8906.2,8921.2,8925.0,67.75073403,335
1524502800,8921.2,8924.2,8873.2,8887.2,8892.9,111.53694724,538
1524506400,8887.6,8915.8,8887.6,8905.2,8902.6,101.81623445,317
1524510000,8905.5,8914.1,8818.0,8859.0,8857.4,230.75657727,718
1524513600,8857.8,8937.3,8845.1,8933.0,8888.1,258.2740692,576
1524517200,8933.1,8952.0,8919.4,8945.5,8936.0,169.70036274,340
1524520800,8945.4,8969.0,8930.0,8940.0,8957.0,111.79938873,369
1524524400,8940.0,8966.0,8930.1,8954.1,8947.2,71.66903905,366
1524528000,8959.0,9400.0,8947.0,9195.5,9166.6,1250.64048107,4025
1524531600,9195.0,9219.1,9136.7,9189.2,9181.0,296.10811206,1281
1524535200,9189.2,9250.0,9185.4,9210.0,9208.9,236.43480024,885
1524538800,9210.0,9235.1,9195.0,9219.0,9214.6,182.18472913,608
1524542400,9219.0,9298.6,9211.2,9294.6,9251.7,186.19243484,1017
1524546000,9287.9,9333.0,9233.5,9300.3,9285.1,298.2374089,917
1524549600,9300.3,9307.8,9249.5,9263.2,9273.9,172.01258385,666
1524553200,9263.2,9265.8,9210.8,9249.5,9231.0,194.50224087,602
1524556800,9250.0,9290.0,9230.8,9276.0,9262.5,80.43244438,355
1524560400,9276.0,9311.9,9258.3,9293.0,9290.7,189.74547243,454
1524564000,9297.9,9368.2,9293.0,9319.3,9323.2,315.84195025,826
1524567600,9319.3,9363.8,9302.1,9305.5,9329.9,285.30710981,683
1524571200,9305.0,9386.0,9304.9,9386.0,9333.5,321.44764748,686
1524574800,9385.9,9443.3,9233.1,9271.0,9346.8,880.41149509,2275
1524578400,9275.7,9437.8,9207.9,9305.0,9289.5,816.54265813,1649
